1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0.30000000000000004,9.1,2.7,9.0,0.2,9.4,23.700000000000003,0.0,0.0,0.0,0.0,0.0,1.8,1.4000000000000001,0.0,11.9,2.6,12.0,0.0,0.0,0.0,0.0,0.0,2.3000000000000003,21.5,0.0,0.0,25.400000000000002,7.5,0.0,4.9,0.0,13.9,0.0,0.0,0.9,0.0,0.4,5.4,7.5,0.0,0.0,0.0,32.2,0.0,0.0,1.7000000000000002,0.8,11.100000000000001,0.0,0.0,1.0,8.9,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0
0.0,0.0,11.100000000000001,0.0,0.0,0.0,1.9000000000000001,0.0,0.0,3.8000000000000003,0.0,0.0,0.0,0.9,0.0,2.4000000000000004,0.0,0.0,9.1,0.0,0.0,1.2000000000000002,0.0,9.3,10.9,0.0,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.2000000000000002,0.6000000000000001,0.0,0.0,0.0,4.5,0.0,3.4000000000000004,0.0,6.2,28.3,1.1,0.0,0.0,0.0,0.1,24.400000000000002,20.2,21.2
1.9000000000000001,29.400000000000002,0.0,8.5,0.2,1.1,26.8,0.0,0.0,11.5,0.0,0.0,2.2,0.0,0.0,0.0,1.1,3.0,0.0,5.6000000000000005,0.0,2.2,0.0,0.0,0.0,0.0,0.0,3.4000000000000004,0.0,9.3,0.1,0.0,5.0,3.0,20.3,12.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,16.5,0.0,0.0,0.0,63.7,0.0,0.0,2.4000000000000004,0.0,0.0,0.0,9.0,0.9,0.0
1.2000000000000002,15.8,0.30000000000000004,28.8,0.0,28.0,0.0,11.600000000000001,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,53.5,0.0,1.8,0.0,0.0,0.0,0.0,0.0,18.0,1.5,0.0,0.0,0.0,0.7000000000000001,0.0,1.0,2.5,0.0,0.0,0.0,0.0,8.3,3.7,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.1,5.0,0.0,0.0,0.0,16.1,5.5,0.0,38.5,0.0
0.0,0.5,17.400000000000002,0.0,2.5,14.8,0.0,1.8,1.4000000000000001,0.0,0.0,6.6000000000000005,54.5,26.8,0.0,7.4,0.2,0.1,0.0,0.0,6.9,0.0,0.0,0.0,21.200000000000003,3.9000000000000004,0.0,8.9,5.800000000000001,0.30000000000000004,0.2,0.8,1.1,1.5,7.4,18.3,2.3000000000000003,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,4.0,0.0,0.0,10.700000000000001,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.4,74.4,0.0,0.0,0.0,0.0
0.0,0.0,0.0,105.0,0.0,0.0,0.0,1.8,0.0,27.6,0.0,0.0,32.800000000000004,8.3,0.0,2.8000000000000003,0.0,0.0,0.0,0.0,1.9000000000000001,0.0,0.0,0.0,3.0,0.8,0.0,4.5,0.0,28.200000000000003,2.9000000000000004,2.7,21.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8000000000000003,0.0,0.0,0.0,1.4000000000000001,0.0,0.0,0.0,0.0,20.700000000000003,0.0,0.0,0.0,40.800000000000004,0.0,0.30000000000000004,0.0,0.0,0.5
11.3,0.6000000000000001,0.0,23.700000000000003,0.0,0.0,0.0,4.800000000000001,1.2000000000000002,47.800000000000004,0.0,0.0,5.300000000000001,0.30000000000000004,0.1,0.0,0.0,0.0,19.400000000000002,19.700000000000003,2.1,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,17.400000000000002,7.9,0.0,0.0,13.4,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.200000000000001,8.3,0.30000000000000004,1.8,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.1,1.3,0.0,0.0,0.0,0.0,0.4
35.300000000000004,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,13.200000000000001,0.0,52.7,1.2000000000000002,0.5,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,2.6,0.0,0.0,0.0,0.0,70.0,0.0,14.100000000000001,3.2,36.0,23.200000000000003,0.0,0.0,3.6,0.0,0.0,7.4,6.7,52.300000000000004,3.8000000000000003,8.8,23.700000000000003,53.300000000000004,34.5,39.800000000000004,2.3000000000000003,0.0,14.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.0,41.900000000000006,31.1,0.0,17.5,0.0,9.0,29.6,0.0,17.6,14.8,0.0,5.2,0.0,78.10000000000001,0.0,7.5,0.0,38.5,0.1,0.0,0.0,21.6,0.0,0.0,0.0,0.0,29.700000000000003,1.5,0.4,11.100000000000001,0.0,2.8000000000000003,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,41.5,0.0,0.0,0.0,4.7,0.0,2.8000000000000003,16.0,50.1,0.0,1.8,5.5,0.0,4.1000000000000005,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,7.5,0.0,0.0
0.0,1.7000000000000002,37.6,0.0,8.9,8.1,0.0,1.1,9.5,1.6,2.4000000000000004,11.4,0.1,4.0,17.5,0.0,19.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.7,115.80000000000001,0.0,0.0,10.200000000000001,0.1,0.0,0.0,0.0,0.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,23.0,4.3,15.9,3.4000000000000004,0.0,65.5,12.200000000000001,0.7000000000000001,35.6,0.0,0.0,0.0,0.2,0.0,10.4
18.6,3.6,0.0,0.0,1.8,0.0,0.2,18.2,0.0,0.2,3.4000000000000004,0.1,0.5,14.5,0.0,26.200000000000003,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6000000000000005,0.0,30.3,0.0,26.200000000000003,0.0,0.0,0.0,30.1,0.0,1.0,0.0,0.0,49.5,0.0,4.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,45.7,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.2
67.9,0.1,10.700000000000001,1.9000000000000001,0.1,3.3000000000000003,0.0,0.1,0.0,10.0,0.0,0.0,0.0,0.0,32.7,1.4000000000000001,0.0,0.0,7.300000000000001,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,60.7,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.30000000000000004,0.0,0.9,0.0,25.200000000000003,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,24.400000000000002,2.2,4.2,0.0,6.9,0.0,0.0,8.8,0.0,0.0
24.200000000000003,0.0,0.9,0.0,28.3,7.800000000000001,0.2,0.0,0.2,0.1,0.0,0.1,0.0,37.5,9.8,0.0,0.0,0.0,20.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,8.8,0.0,0.0,0.0,0.0,22.700000000000003,0.0,0.0,7.1000000000000005,3.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,17.900000000000002,12.8,1.1,2.4000000000000004,10.4,0.0,54.800000000000004,13.8,24.900000000000002,0.0,36.8
14.100000000000001,0.6000000000000001,0.0,0.0,3.5,2.6,1.1,0.0,0.8,104.7,0.2,0.0,0.0,7.300000000000001,0.0,0.0,15.3,0.0,0.8,22.400000000000002,0.0,8.3,0.5,0.30000000000000004,24.900000000000002,21.900000000000002,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.1,0.0,85.4,0.0,0.0,2.9000000000000004,0.30000000000000004,0.6000000000000001,32.5,19.900000000000002,0.0,0.0,9.5,0.0,0.0,0.0,10.3,0.0,2.9000000000000004,1.0,0.0,1.1,3.8000000000000003,0.0,0.0,0.0,0.0
0.0,14.0,9.8,0.0,0.4,0.0,47.1,0.0,45.7,31.900000000000002,20.900000000000002,0.0,0.0,2.6,0.0,39.800000000000004,0.0,0.1,0.0,8.200000000000001,19.0,52.800000000000004,0.0,0.0,7.5,25.3,0.0,0.0,0.0,27.900000000000002,39.7,0.0,0.0,0.0,43.6,68.3,0.0,0.0,0.0,0.0,9.8,0.0,26.200000000000003,0.0,0.0,0.0,0.6000000000000001,0.0,5.9,0.0,44.1,0.0,0.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.600000000000001,0.0,0.0,1.4000000000000001,0.0,1.9000000000000001,0.0,20.900000000000002,89.7,0.0,17.0,1.5,2.7,66.2,21.900000000000002,0.0,0.0,0.0,0.0,18.2,0.0,0.0,18.6,0.0,4.4,0.0,0.7000000000000001,0.1,0.0,0.0,0.4,0.0,1.5,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,59.300000000000004,0.4,11.3,0.0,1.0,0.0,0.0
0.0,0.1,0.0,3.0,106.2,0.0,1.4000000000000001,4.800000000000001,0.0,0.4,0.0,15.700000000000001,0.0,7.0,0.0,0.0,1.6,0.0,0.0,2.1,8.3,0.0,18.1,2.4000000000000004,0.0,1.0,26.700000000000003,0.0,0.0,28.5,0.0,21.5,20.900000000000002,0.0,0.0,3.0,0.0,0.0,0.0,0.0,53.1,2.4000000000000004,0.0,0.4,0.0,1.1,0.0,0.0,0.0,0.0,39.5,0.0,1.8,0.0,0.0,0.0,3.1,5.800000000000001,0.0,0.0,0.0,0.7
0.0,6.1000000000000005,13.4,9.1,23.5,0.0,2.9000000000000004,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,0.1,0.0,7.9,0.2,0.0,0.0,10.5,2.9000000000000004,0.0,28.200000000000003,0.0,0.1,0.0,1.4000000000000001,1.0,0.0,7.2,6.2,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,5.2,19.0,1.4000000000000001,33.300000000000004,29.1,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,35.0,6.1000000000000005,15.100000000000001,0.0,0.0,0.0,0.0,0.0
0.0,34.7,0.0,21.400000000000002,0.0,0.0,0.6000000000000001,0.0,0.0,43.7,0.0,0.0,64.10000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,8.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,15.9,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,3.2,3.5,7.1000000000000005,6.7,35.6,10.2
0.0,0.0,8.200000000000001,0.0,0.0,0.0,3.9000000000000004,0.0,0.0,15.200000000000001,0.9,0.0,0.5,0.0,25.0,0.0,0.2,0.0,20.3,0.0,0.0,0.0,4.0,0.0,4.7,40.6,0.0,0.0,0.0,0.0,0.0,0.0,3.3000000000000003,1.8,0.2,56.900000000000006,0.0,0.0,0.0,0.0,28.3,0.0,0.0,0.7000000000000001,0.0,1.9000000000000001,0.0,17.400000000000002,0.0,0.0,3.9000000000000004,2.6,7.5,6.1000000000000005,23.400000000000002,0.0,3.6,0.0,0.0,0.0,0.0,1.0
0.0,17.5,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.1,0.0,1.6,0.0,2.5,15.600000000000001,0.0,0.0,36.7,0.0,0.0,0.0,0.0,0.0,7.7,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,48.1,16.8,0.0,0.9,0.0,0.0,48.1,0.0,0.0,10.3,15.8,3.9000000000000004,6.4,7.9,0.0,0.0,0.0,0.1,0.0,0.1,1.1,5.9,0.0,0.0,0.0,0.30000000000000004,0.0,0.0
