1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0.0,59.6,0.0,0.0,0.0,32.1,2.8000000000000003,0.0,2.4000000000000004,0.0,0.0,0.0,0.0,1.3,1.3,14.9,0.1,0.0,0.2,0.0,1.5,17.1,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.3,0.0,0.9,62.900000000000006,0.0,5.800000000000001,3.0,0.0,0.0,32.4,0.30000000000000004,0.0,53.2,0.0,0.0,0.0,0.0,0.1,0.0,78.4,1.2000000000000002,0.0,0.0,0.0,8.0,2.0,0.0,9.5,6.0,3.4000000000000004,0.0,37.9,8.2
0.0,24.200000000000003,16.6,0.0,0.0,0.0,13.3,0.0,88.0,0.0,0.0,0.0,0.1,1.4000000000000001,0.0,52.0,0.30000000000000004,0.0,0.0,0.0,0.4,0.0,31.5,0.30000000000000004,0.0,0.0,4.6000000000000005,0.0,118.5,11.0,0.0,30.1,19.1,0.0,7.7,1.2000000000000002,0.0,0.0,10.700000000000001,3.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.5,0.7000000000000001,0.0,1.6,7.5,0.0,18.400000000000002,7.4,0.0
0.0,2.9000000000000004,1.9000000000000001,14.0,0.0,6.300000000000001,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1000000000000005,0.0,0.0,2.4000000000000004,12.8,30.400000000000002,19.900000000000002,0.0,0.0,59.2,2.7,0.0,5.300000000000001,38.800000000000004,0.0,14.200000000000001,0.0,25.5,0.0,0.1,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,2.9000000000000004,0.0,0.0,0.0,0.0,1.5,1.8,0.0,10.4,0.0,55.900000000000006,36.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0,3.9000000000000004,0.0,5.0,0.0,29.3,0.0,0.0,40.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.200000000000001,0.0,16.8,30.700000000000003,1.4000000000000001,0.0,0.4,33.5,0.0,1.0,165.4,15.8,0.0,16.7,0.0,10.8,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.100000000000001,58.6,1.7000000000000002,0.4,0.1,19.3,54.0,9.9,0.0
0.0,0.0,20.200000000000003,0.0,14.700000000000001,1.3,0.5,1.5,9.9,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,14.700000000000001,0.0,0.0,11.8,6.300000000000001,20.700000000000003,9.9,0.0,0.0,0.0,0.0,7.7,128.6,39.400000000000006,0.1,10.200000000000001,0.0,2.7,2.5,0.0,0.0,0.0,0.0,0.0,26.400000000000002,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,3.4000000000000004,19.200000000000003,2.4000000000000004,0.0,0.0,18.7,8.9,0.0,0.2
0.0,0.0,1.3,0.0,29.5,0.1,0.9,28.700000000000003,0.1,0.0,0.0,0.0,0.1,0.0,31.200000000000003,16.900000000000002,9.3,0.0,0.0,0.8,0.0,0.0,3.2,0.30000000000000004,0.0,19.3,0.0,0.0,0.0,0.0,0.0,2.8000000000000003,1.6,0.0,36.300000000000004,0.0,0.0,0.0,9.4,0.0,0.0,6.4,3.3000000000000003,33.800000000000004,0.0,0.6000000000000001,0.0,0.0,0.5,84.60000000000001,0.0,11.5,0.0,0.0,6.800000000000001,0.0,0.0,42.0,6.5,0.0,0.0,7.2
0.0,0.0,0.0,0.0,53.1,2.6,0.0,51.6,2.7,0.0,0.0,0.0,0.2,0.0,0.0,50.2,0.0,0.6000000000000001,0.2,0.6000000000000001,0.0,0.0,27.3,0.0,0.0,11.600000000000001,7.9,0.0,0.0,0.0,0.0,0.1,0.0,0.8,1.5,0.0,14.100000000000001,0.0,13.200000000000001,0.0,0.0,17.7,5.2,2.0,0.0,2.4000000000000004,0.0,11.200000000000001,0.0,2.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,3.3000000000000003,3.0,2.1,0.0,11.5
0.0,0.0,0.0,0.0,0.0,80.0,0.0,63.900000000000006,63.7,0.30000000000000004,0.0,0.0,0.5,1.3,0.8,21.8,0.0,0.0,0.0,0.0,4.6000000000000005,0.1,38.5,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.30000000000000004,18.900000000000002,0.0,0.0,0.0,51.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.6,0.0,0.1,0.7000000000000001,0.0,0.0,0.2,6.5,0.0,0.0,0.0,43.5,130.70000000000002,0.0,0.0
1.5,0.0,4.5,0.0,0.0,56.2,39.7,83.4,3.8000000000000003,3.6,0.0,0.0,0.30000000000000004,5.2,0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.5,46.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,102.80000000000001,0.0,0.0,0.0,0.0,0.1,0.6000000000000001,0.0,0.0,90.30000000000001,30.3,0.0,0.0
11.200000000000001,14.0,0.0,0.0,0.0,30.700000000000003,0.4,5.800000000000001,17.400000000000002,32.7,0.0,0.0,0.4,3.1,0.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,93.10000000000001,40.7,0.0,20.1,0.0,0.0,0.2,0.0,9.4,0.0,4.5,0.4,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,17.1,0.0,17.6,20.3,0.0,0.0
0.0,0.2,5.7,0.0,0.0,25.400000000000002,0.0,30.400000000000002,5.1000000000000005,45.0,0.0,0.0,3.7,1.4000000000000001,0.0,48.0,0.0,0.0,6.7,0.0,0.6000000000000001,0.0,13.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,11.4,2.3000000000000003,8.9,0.0,1.5,0.0,55.7,71.8,0.0,58.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,62.400000000000006,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.1,0.0,0.0
0.0,0.0,4.1000000000000005,0.0,0.0,0.0,0.0,7.5,0.0,5.6000000000000005,0.0,0.0,22.400000000000002,8.5,0.5,32.5,0.0,0.0,0.0,0.0,9.200000000000001,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,6.1000000000000005,0.1,0.0,1.6,0.0,30.5,0.30000000000000004,0.0,15.3,0.0,0.0,0.0,0.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.200000000000001,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.2,0.1,1.5,0.0,0.0,4.3,12.200000000000001,9.600000000000001,0.1,1.5,0.0,0.0,34.6,0.4,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.1,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,0.0,1.1,0.0,9.700000000000001,0.0,0.0,0.2,6.7,0.0,0.0,0.0,1.6,0.0,4.1000000000000005,0.0,0.4,25.900000000000002,0.0,0.4,0.0,0.0,19.400000000000002,0.0,0.0,0.0
