Stanum,Lat,Lon,Rain,Mean,Var
50136,5258,12231,1.04,1.48,10.02
50246,5221,12443,-0.33,4.69,123.18
50247,5202,12334,-1.24,3.13,37.34
50349,5140,12424,0.23,5.77,250.74
50353,5144,12638,-0.55,4.64,76.8
50425,5015,12011,-1.2,3.28,34.21
50434,5029,12141,0.02,2.61,44.32
50442,5024,12407,-0.77,5.38,99.85
50468,5015,12728,-0.94,4.16,79.22
50514,4935,11719,-0.81,3.19,62.98
50527,4915,11942,-0.21,4.3,80.36
50548,4912,12343,-0.04,3.15,71.94
50557,4909,12514,-1.02,4.15,90.74
50564,4925,12720,0.1,2.95,42.99
50603,4841,11649,-0.74,2.63,34.04
50618,4813,11816,-0.52,3.31,58.11
50639,4800,12244,-0.21,3.41,73.08
50656,4816,12630,-0.4,3.48,48.36
50658,4805,12547,0.4,2.26,35.97
50727,4710,11956,-0.9,3.61,49.3
50739,4718,12315,-0.09,3.26,74.92
50742,4748,12429,-1.06,3.98,75.22
50745,4723,12355,-0.34,2.96,37.15
50756,4727,12652,-1.01,4.61,75.12
50758,4709,12554,-0.26,6.99,226.17
50774,4742,12850,1.24,2.05,18.71
50788,4714,13160,-0.34,2.59,26.3
50834,4636,12113,0.84,1.73,11.17
50844,4624,12327,-1.33,4.14,128.47
50853,4637,12658,-1.07,5.41,108.97
50854,4623,12519,-1.04,4.01,56.31
50862,4659,12759,0.93,2.52,37.73
50873,4647,13018,0.2,2.05,48.08
50877,4618,12935,0.61,1.82,18.65
50888,4623,13210,0.01,4.85,115.57
50915,4531,11658,-0.23,1.57,27.26
50936,4538,12250,-0.4,2.65,61.37
50945,4530,12414,0.42,2.49,16.04
50948,4500,12401,0.63,6.39,357.59
50949,4505,12452,2.76,8.2,339.53
50950,4542,12515,-0.12,3.0,97.37
50953,4556,12634,0.31,3.06,51.66
50963,4558,12844,0.34,2.59,31.27
50968,4513,12758,-0.69,4.39,47.44
50973,4545,13036,-0.41,3.05,35.49
50978,4518,13055,0.87,6.41,156.64
50983,4546,13253,-0.25,4.58,107.7
51053,4803,8624,0.17,0.27,1.16
51060,4742,8652,-0.89,0.53,4.05
51068,4707,8729,-0.62,0.76,9.24
51076,4744,8805,0.27,0.28,1.22
51087,4701,8930,-0.08,0.38,0.99
51133,4644,8300,0.22,0.25,0.62
51156,4649,8545,-0.25,0.76,4.46
51232,4511,8233,-0.82,0.43,2.14
51238,4454,8204,0.2,0.38,0.67
51241,4556,8336,-0.31,0.84,4.1
51243,4537,8451,-0.27,0.46,2.24
51334,4434,8249,0.62,0.1,0.07
51367,4410,8651,-1.08,0.7,12.45
51469,4327,8711,-1.1,1.72,9.97
51470,4353,8807,-0.91,3.71,79.43
51477,4321,8819,-0.83,0.77,3.27
51526,4214,8813,0.53,0.9,5.36
51542,4302,8409,0.2,2.99,15.06
51567,4203,8636,0.81,1.18,7.67
51573,4257,8914,0.19,0.0,0.0
51628,4107,8023,-0.6,0.4,0.96
51639,4115,8246,0.24,0.59,4.73
51656,4144,8549,-1.11,0.4,0.98
51704,3944,7613,-0.59,0.27,1.18
51705,3943,7515,-0.33,1.31,14.73
51709,3929,7545,-0.29,0.12,0.2
51720,4030,7903,1.1,1.54,28.19
51730,4033,8116,1.64,0.88,9.98
51747,3900,8340,-0.09,0.15,0.35
51765,4038,8742,-0.21,0.49,3.59
51810,3855,7738,-0.82,0.39,1.1
51811,3826,7716,-0.61,0.22,0.51
51818,3737,7817,-0.47,0.14,0.55
51828,3708,7956,-1.16,0.16,0.38
51839,3704,8234,-0.34,0.12,0.22
51855,3809,8533,-0.28,0.1,0.3
51931,3651,8139,-0.31,0.14,0.32
52101,4336,9303,-0.22,1.01,6.49
52112,4345,9459,-0.16,0.05,0.04
52118,4316,9442,-0.2,0.46,2.07
52203,4249,9331,-0.56,0.15,0.15
52313,4132,9440,0.35,0.05,0.04
52323,4148,9702,-0.26,0.33,0.95
52533,3946,9829,-0.57,0.53,1.63
52546,3922,9950,0.63,1.45,13.42
52602,3845,9320,-0.51,0.2,0.57
52652,3905,10017,-0.47,1.16,13.59
52674,3813,10156,0.01,2.01,27.27
52679,3753,10252,-0.28,0.64,3.24
52681,3838,10305,1.85,1.77,38.25
52707,3648,9341,0.35,0.04,0.01
52787,3712,10252,-0.45,2.25,18.12
52797,3711,10403,0.14,0.51,3.34
52818,3625,9454,-1.27,0.36,0.78
52825,3626,9626,-0.18,0.19,0.24
52836,3618,9806,0.58,2.51,13.81
52856,3616,10037,-0.41,2.73,47.39
52866,3640,10144,1.09,1.34,16.96
52868,3601,10122,0.61,2.25,21.49
52876,3620,10250,-1.18,2.09,27.2
52884,3621,10357,-0.99,1.58,13.49
52895,3634,10441,-0.19,0.89,5.77
52908,3513,9305,2.49,5.01,57.89
52943,3535,9960,3.44,5.5,96.36
52955,3535,10044,-1.17,3.15,22.91
52974,3533,10202,0.49,3.71,45.04
52983,3552,10409,0.01,1.4,9.94
52984,3535,10311,-0.77,2.54,34.36
52986,3522,10352,0.02,2.26,21.49
52996,3523,10500,-0.32,2.2,28.43
53068,4338,11156,-0.52,0.78,3.48
53083,4437,11409,-0.67,2.38,34.94
53149,4232,11008,-1.11,1.45,9.84
53192,4401,11500,0.05,1.26,12.1
53231,4124,10624,-0.27,0.0,0.0
53336,4134,10831,-0.44,2.31,16.01
53352,4142,11026,-0.36,1.53,17.31
53362,4133,11139,-0.82,2.72,48.94
53391,4154,11400,0.02,1.71,19.98
53399,4109,11442,0.43,1.74,17.27
53446,4032,10953,-0.81,2.77,35.7
53463,4051,11134,0.56,5.34,184.92
53478,4000,11228,0.6,1.67,22.27
53480,4102,11304,-0.62,2.56,54.85
53487,4005,11325,1.15,1.02,10.84
53490,4026,11404,1.08,0.86,6.87
53513,4044,10722,0.25,1.7,13.35
53519,3912,10646,2.07,3.54,72.29
53529,3905,10758,-0.66,2.49,31.34
53543,3949,11001,-1.33,2.92,81.53
53564,3922,11113,-0.05,1.93,18.88
53578,3922,11226,1.76,0.69,6.75
53588,3856,11331,0.45,3.72,51.91
53593,3950,11434,1.28,1.56,23.72
53594,3927,11413,0.68,1.86,25.03
53612,3759,10611,-0.93,1.47,20.22
53614,3828,10612,0.52,2.56,78.72
53615,3848,10642,0.12,2.26,34.72
53646,3816,10947,0.97,0.62,3.26
53651,3849,11028,0.96,1.14,10.39
53663,3856,11149,0.81,1.43,13.89
53664,3828,11108,1.11,1.39,18.32
53673,3844,11243,0.89,1.28,18.75
53687,3747,11338,-1.27,3.96,81.22
53704,3732,10511,-0.36,0.67,6.19
53705,3729,10541,-0.78,1.06,15.68
53723,3748,10715,0.17,0.88,5.02
53725,3735,10735,0.28,0.8,5.8
53735,3737,10848,-0.14,1.13,7.01
53738,3655,10810,1.07,0.53,1.81
53740,3756,10914,0.66,0.71,3.01
53754,3730,11013,0.83,0.76,3.49
53764,3730,11107,0.35,1.37,12.09
53772,3737,11235,0.97,0.77,3.23
53775,3725,11236,1.04,0.64,2.7
53787,3704,11259,0.82,1.79,21.77
53798,3711,11422,-0.53,3.62,64.08
53806,3634,10539,0.26,1.17,18.04
53810,3658,10554,-0.4,1.15,11.79
53817,3602,10614,0.55,1.09,23.69
53821,3634,10718,0.32,1.19,11.74
53853,3642,11057,0.72,1.31,12.98
53854,3635,11004,0.41,1.13,13.91
53859,3605,11040,1.12,1.01,10.27
53863,3704,11157,0.77,1.04,7.26
53868,3604,11130,1.02,1.07,11.29
53877,3608,11215,0.7,1.66,15.69
53882,3604,11302,-1.04,3.28,57.14
53884,3630,11302,0.9,1.45,15.4
53898,3603,11408,-0.94,5.91,139.34
53903,3558,10543,-0.3,1.84,37.47
53910,3540,10612,-0.29,2.03,26.64
53915,3532,10640,0.19,1.68,17.43
53923,3544,10738,-0.37,2.7,33.38
53929,3512,10748,-0.31,4.62,337.66
53942,3547,10922,0.49,1.94,29.02
53948,3453,10938,-0.86,3.09,61.55
53959,3507,11104,-0.85,2.81,84.06
53963,3539,11122,0.32,1.47,15.07
53968,3517,11140,0.22,2.18,25.45
