Stanum,Lat,Lon,Rain,Mean,Var
53663,3856,11149,0.34,1.59,11.99
53664,3828,11108,0.03,2.02,44.91
53673,3844,11243,0.0,1.8,22.77
53687,3747,11338,-0.99,3.95,187.38
53704,3732,10511,0.53,0.45,1.27
53705,3729,10541,-0.19,0.83,6.28
53723,3748,10715,0.34,0.86,10.91
53725,3735,10735,-1.08,2.85,99.6
53735,3737,10848,0.15,1.35,9.45
53738,3655,10810,0.12,1.92,16.63
53740,3756,10914,-0.15,1.69,15.4
53754,3730,11013,0.53,1.02,12.04
53764,3730,11107,-1.36,3.84,79.92
53772,3737,11235,-0.12,1.8,49.09
53775,3725,11236,-0.31,3.82,95.18
53787,3704,11259,1.12,6.73,552.8
53798,3711,11422,-0.42,3.03,68.26
53806,3634,10539,-0.74,2.4,29.84
53810,3658,10554,0.34,0.8,6.94
53817,3602,10614,-0.62,4.24,69.8
53821,3634,10718,-0.58,2.31,19.65
53853,3642,11057,0.46,1.36,30.28
53854,3635,11004,0.06,1.89,32.01
53859,3605,11040,0.17,1.39,10.35
53863,3704,11157,-0.21,4.17,221.68
53868,3604,11130,-0.37,1.82,57.42
53877,3608,11215,-0.56,2.5,71.86
53882,3604,11302,-0.19,4.41,182.54
53884,3630,11302,-0.62,4.17,234.28
53898,3603,11408,0.1,1.9,27.17
53903,3558,10543,-0.52,3.73,46.56
53910,3540,10612,-0.4,4.73,66.29
53915,3532,10640,0.41,5.17,146.6
53923,3544,10738,-1.16,3.34,39.68
53929,3512,10748,-1.06,3.7,66.55
53942,3547,10922,-0.05,2.28,44.57
53948,3453,10938,-0.78,3.32,70.38
53959,3507,11104,0.02,4.05,198.04
53963,3539,11122,-0.95,2.48,59.87
53968,3517,11140,-0.38,2.47,53.45
53975,3529,11225,-0.86,3.14,67.91
53986,3519,11355,-0.66,3.29,108.94
54012,4434,11738,0.72,0.82,13.06
54026,4434,12054,0.58,0.47,5.93
54027,4357,11919,0.7,0.43,0.98
54041,4448,12304,0.4,1.04,6.27
54049,4415,12358,0.13,1.54,16.07
54063,4458,12600,0.97,0.64,11.49
54064,4423,12509,1.52,0.57,2.67
54094,4430,12940,0.59,1.72,22.03
54096,4424,13111,0.06,2.35,64.62
54102,4357,11607,0.34,0.78,4.21
54115,4338,11802,0.2,1.18,12.72
54134,4336,12117,0.45,0.55,3.18
54135,4336,12216,1.08,0.09,0.12
54142,4331,12327,0.99,0.59,5.05
54157,4307,12423,0.9,0.94,6.12
54161,4354,12513,0.28,2.15,31.08
54165,4333,12538,0.93,1.4,19.74
54171,4342,12631,-0.59,2.31,49.59
54181,4342,12720,0.74,2.34,38.06
54186,4322,12812,-0.06,2.96,34.7
54195,4318,12947,-0.46,2.95,55.55
54208,4212,11628,-1.15,2.74,61.01
54213,4256,11901,0.15,1.05,6.64
54218,4218,11850,-0.27,1.59,25.29
54226,4220,12042,-0.17,1.62,21.12
54236,4223,12233,1.15,0.52,2.96
54243,4247,12406,1.2,0.49,1.4
54254,4232,12403,0.81,1.18,16.17
54259,4204,12452,0.29,3.09,71.22
54260,4255,12505,0.28,2.51,55.35
54263,4258,12605,0.65,2.09,23.94
