Stanum,Lat,Lon,Rain
54351,4155,12404,0.0
54353,4143,12502,-0.09
54363,4141,12554,-0.43
54374,4148,12653,-1.02
54377,4109,12613,-1.07
54386,4125,12811,-0.99
54401,4046,11455,-0.57
54405,4025,11530,1.94
54406,4027,11558,2.1
54416,4023,11652,1.51
54423,4058,11755,3.04
54429,4012,11757,3.55
54436,4025,11857,3.33
54449,3951,11931,3.7
54452,4048,11948,2.54
54454,4020,12018,1.26
54455,4037,12039,1.42
54470,4101,12203,-1.23
54471,4040,12210,0.3
54476,4011,12209,0.53
54486,4020,12317,-0.95
54493,4043,12447,-0.33
54497,4002,12420,-1.06
54511,3948,11628,1.82
54518,3910,11624,0.25
54525,3944,11717,0.81
54527,3905,11703,1.84
54534,3939,11806,2.28
54539,3926,11853,1.04
54563,3938,12201,-0.56
54579,3916,12235,-0.13
54584,3943,12257,-0.28
54602,3844,11529,-0.85
54606,3813,11545,-1.1
54618,3805,11633,-1.2
54623,3903,11743,0.43
54624,3824,11719,2.1
54662,3854,12138,-1.19
54705,3722,11523,-0.26
54715,3719,11631,-1.17
54725,3730,11732,-0.69
54727,3639,11731,-0.94
54744,3735,11833,0.04
54751,3756,12044,-1.33
54753,3738,12020,-0.53
54764,3729,12114,0.25
54776,3724,12242,-0.76
54808,3613,11538,-0.73
54823,3636,11700,-0.07
54826,3615,11706,-1.25
54836,3611,11810,-0.03
54842,3647,12000,-0.24
54843,3645,11912,0.45
54857,3604,12020,-1.14
54863,3647,12111,-1.07
54909,3505,11531,-0.95
54916,3534,11651,-0.32
54929,3516,11758,-1.1
54936,3534,11850,-0.31
54945,3528,11933,0.06
55228,3230,8005,1.69
55248,3209,8425,0.98
55299,3129,9204,-0.5
55437,3017,8115,0.46
55493,3029,9106,-1.31
55569,2905,8736,0.81
55598,2916,9146,-0.0
55655,2811,8558,-0.81
55664,2838,8705,2.39
55680,2855,8936,1.58
56004,3413,9226,0.65
56018,3253,9517,-0.33
56021,3408,9549,0.28
56029,3300,9658,-1.34
56033,3455,9813,0.22
56034,3348,9708,-1.28
56038,3259,9806,-0.37
56043,3429,10014,-1.39
56046,3345,9939,0.0
56065,3444,10136,-0.6
56067,3326,10129,-0.34
56074,3400,10205,-0.27
56079,3335,10258,0.34
56080,3459,10254,0.74
56093,3426,10401,-0.73
56096,3324,10455,-0.52
56116,3125,9536,2.07
56125,3212,9628,-1.14
56137,3109,9710,-1.06
56144,3148,9835,-0.69
56146,3137,10000,-0.57
56151,3256,10045,-0.77
56152,3217,10020,-0.59
56167,3058,10107,0.99
56172,3154,10214,-0.75
56173,3248,10233,0.29
56178,3060,10221,-0.88
56182,3240,10336,-1.34
56187,3045,10352,0.37
56188,3060,10340,0.35
56223,3046,9548,0.61
56227,2952,9546,-0.98
56247,3000,9906,-0.52
56251,3056,10019,0.23
56257,3000,10016,2.22
56312,2940,9420,-0.96
56331,2940,9750,0.88
56357,2903,10018,-0.9
56374,3003,10158,-1.37
56385,2931,10320,-0.68
56386,2934,10345,1.45
56434,2840,9728,-1.06
56444,2829,9854,-0.21
56459,2756,10117,0.23
56462,2900,10130,-0.86
56475,2839,10231,-1.07
56479,2800,10251,-0.42
56485,2816,10335,-0.1
56492,2846,10436,-0.82
56533,2745,9840,-0.26
56543,2751,9945,-0.03
56548,2711,9917,-1.23
56565,2726,10129,-0.13
56571,2754,10216,-1.05
56586,2721,10343,0.3
56643,2552,9851,1.14
56651,2651,10013,-0.71
56664,2638,10116,-1.26
56666,2635,10143,0.13
56671,2639,10215,-0.09
56684,2624,10315,-0.28
56691,2652,10417,0.25
56739,2459,9830,-1.26
56748,2507,9911,1.85
56751,2542,10011,-0.54
56778,2500,10239,-1.15
56792,2547,10458,-0.05
56793,2545,10432,-0.34
56856,2426,10052,-0.46
56875,2420,10233,-0.92
56886,2432,10346,1.09
56946,2332,9923,2.76
56951,2353,10007,-0.82
56954,2234,9956,2.19
56964,2247,10058,0.07
56966,2338,10158,0.5
56969,2128,10135,-0.92
56977,2236,10151,1.83
56991,2336,10420,1.2
57003,3454,10650,0.38
57014,3434,10552,-0.49
57025,3431,10723,0.58
57028,3404,10719,-0.38
57030,3442,10809,-1.0
57034,3419,10814,-0.86
57037,3456,10858,-0.54
57046,3429,11005,1.35
57048,3424,10843,-0.5
57051,3443,11115,0.46
57052,3453,11027,0.7
57071,3448,11228,0.56
57083,3442,11340,-1.05
57089,3404,11356,0.5
57091,3448,11418,-0.28
57106,3319,10609,-0.69
57124,3337,10655,0.1
57127,3304,10702,0.82
57131,3426,10858,-0.4
57134,3331,10759,0.35
57143,3351,10958,-0.24
57144,3326,10909,0.18
57154,3332,11054,-0.71
57156,3319,11129,0.4
57178,3306,11229,-0.02
57181,3352,11302,-0.34
57193,3347,11431,0.48
57206,3225,10554,1.23
57211,3250,10615,0.39
57232,3303,10816,0.48
57237,3204,10802,0.0
57238,3231,10754,0.36
57245,3242,10903,0.62
57251,3300,11024,0.84
57256,3239,11047,1.17
57259,3202,11046,-0.83
57265,3226,11144,-0.63
57278,3200,11205,-1.25
57279,3208,11245,-1.08
57285,3221,11324,-0.86
57290,3256,11355,-0.44
57297,3208,11403,-0.05
57306,3135,10559,0.96
57313,3153,10647,-0.37
57328,3112,10730,1.49
57343,3154,10932,-0.03
57348,3102,10929,1.02
57355,3103,11021,-0.95
57359,3121,11044,0.11
57378,3112,11238,-0.5
57381,3137,11320,-0.01
57395,3135,11410,1.92
57399,3108,11457,-1.22
57405,3030,10533,0.83
57411,3045,10608,-0.55
57432,3046,10824,0.44
57439,3017,10856,-1.02
57445,3036,10943,-1.27
57447,3017,10928,0.23
57458,3009,11104,-1.04
57461,3044,11122,0.35
57476,3021,11209,0.45
57482,3054,11357,0.81
57483,3040,11308,0.18
57494,3036,11403,4.0
57502,2943,10542,-0.72
57503,2937,10507,-0.34
57512,2958,10616,-0.24
57516,2935,10628,-1.06
57517,2917,10615,-0.64
57520,2950,10704,-0.82
57523,2954,10746,-1.24
57536,2931,10846,-0.74
57545,2932,10925,0.91
57554,2924,11010,2.15
57562,2935,11122,2.52
57573,2953,11254,3.48
57574,2921,11226,3.35
57581,2949,11327,2.62
57583,2955,11358,1.5
57584,2923,11305,2.93
57598,2902,11435,0.57
57606,2808,10650,-0.97
57608,2810,10526,-1.33
57612,2900,10639,-1.15
57625,2832,10727,-1.21
57633,2849,10846,-0.51
57642,2841,10939,0.58
57647,2810,10912,2.18
57649,2814,10941,0.62
57655,2828,11024,3.32
57662,2907,11141,1.28
57669,2823,11113,0.97
57671,2851,11222,6.38
57673,2844,11256,3.42
57679,2813,11312,3.47
57682,2843,11334,0.36
57687,2807,11247,0.66
57696,2823,11446,0.71
57707,2718,10517,0.05
57710,2748,10624,-0.8
57718,2706,10643,0.55
57722,2747,10730,0.83
57729,2714,10753,-0.48
57731,2756,10815,0.57
57741,2744,10911,3.69
57745,2727,10941,5.77
57752,2755,11036,2.41
57761,2745,11118,2.18
57774,2727,11210,2.44
57776,2718,11242,1.19
57779,2703,11321,2.58
57780,2752,11310,3.06
57789,2708,11357,5.2
57793,2747,11422,0.82
57799,2703,11455,2.98
57803,2701,10601,-0.69
57805,2641,10546,-0.75
57806,2615,10554,-1.16
57816,2635,10644,0.09
57825,2636,10759,2.0
57827,2619,10731,1.33
57832,2658,10840,1.01
57839,2614,10908,-0.82
57840,2654,10912,0.24
57845,2610,10947,-1.1
57866,2614,11137,0.13
57872,2653,11236,1.09
57874,2625,11224,1.92
57889,2605,11357,-1.07
57894,2635,11410,0.09
57896,2620,11431,-0.68
57902,2526,10511,1.47
57906,2511,10605,-0.19
57907,2505,10454,2.74
57910,2546,10605,2.52
57912,2609,10639,-0.62
57916,2526,10646,2.37
57922,2550,10733,1.18
57926,2525,10753,-0.5
57932,2556,10831,0.47
57947,2514,10924,-0.07
57957,2519,11018,-0.27
57965,2532,11136,0.12
57972,2544,11258,-0.3
57974,2535,11222,-0.64
57993,2552,11501,-0.02
57996,2505,11415,-0.58
58005,3426,11532,-0.2
58015,3427,11620,0.04
58026,3424,11801,0.27
58027,3417,11710,-1.1
58038,3405,11847,-1.0
58040,3451,11908,-0.89
58047,3415,11914,-0.75
58102,3347,11544,0.41
58111,3351,11625,-0.06
