Stanum,Lat,Lon,Rain,Mean,Var
50136,5258,12231,-1.22,3.25,44.57
50246,5221,12443,-0.5,1.96,15.58
50247,5202,12334,-1.26,2.43,17.83
50349,5140,12424,-0.95,3.4,72.87
50353,5144,12638,-0.65,2.66,32.18
50425,5015,12011,0.6,0.96,7.45
50434,5029,12141,-0.47,2.43,24.69
50442,5024,12407,0.88,0.89,4.91
50468,5015,12728,1.21,1.13,4.51
50514,4935,11719,-0.02,1.12,6.36
50527,4915,11942,-0.04,1.6,25.95
50548,4912,12343,0.27,1.77,27.94
50557,4909,12514,1.1,0.58,2.04
50564,4925,12720,0.6,1.48,11.09
50603,4841,11649,-1.19,2.06,25.7
50618,4813,11816,-0.97,1.95,22.73
50639,4800,12244,-0.1,2.3,44.3
50656,4816,12630,-0.77,3.33,85.97
50658,4805,12547,-0.05,2.27,52.61
50727,4710,11956,0.59,1.2,7.93
50739,4718,12315,-0.16,2.1,38.65
50742,4748,12429,0.28,1.41,18.33
50745,4723,12355,0.81,0.87,4.02
50756,4727,12652,0.66,1.54,17.26
50758,4709,12554,0.34,1.45,27.67
50774,4742,12850,-0.58,3.89,174.75
50788,4714,13160,-0.31,2.49,41.69
50834,4636,12113,-0.39,4.25,112.27
50844,4624,12327,-0.43,1.75,20.89
50853,4637,12658,-1.07,3.69,61.22
50854,4623,12519,0.64,1.03,3.93
50862,4659,12759,-0.02,2.88,38.41
50873,4647,13018,-1.34,4.2,55.2
50877,4618,12935,-0.47,3.14,26.41
50888,4623,13210,-0.64,4.48,76.08
50915,4531,11658,-0.27,2.49,20.14
50936,4538,12250,-0.23,1.56,35.14
50945,4530,12414,-0.19,1.9,28.37
50948,4500,12401,-0.53,2.15,43.48
50949,4505,12452,0.27,1.35,11.94
50950,4542,12515,-0.67,2.58,53.6
50953,4556,12634,0.08,1.95,16.73
50963,4558,12844,-0.67,5.21,76.71
50968,4513,12758,-1.27,4.59,85.38
50973,4545,13036,0.73,5.84,80.89
50978,4518,13055,-0.18,5.17,114.63
50983,4546,13253,0.19,5.48,87.21
51053,4803,8624,-0.34,0.31,0.6
51060,4742,8652,0.03,0.13,0.16
51068,4707,8729,0.43,0.15,0.13
51076,4744,8805,-0.12,0.24,0.54
51087,4701,8930,0.28,0.15,0.2
51133,4644,8300,0.24,0.15,0.46
51156,4649,8545,0.54,0.15,0.19
51232,4511,8233,0.58,0.08,0.04
51238,4454,8204,0.78,0.09,0.11
51241,4556,8336,-0.62,0.74,4.13
51243,4537,8451,-0.1,0.8,12.92
51334,4434,8249,0.62,0.02,0.01
51367,4410,8651,-0.26,0.28,0.73
51469,4327,8711,-1.14,1.25,8.54
51470,4353,8807,-0.53,1.69,18.64
51477,4321,8819,0.0,0.11,0.14
51526,4214,8813,-0.28,0.13,0.25
51542,4302,8409,-0.09,1.24,12.79
51567,4203,8636,-0.54,0.25,0.77
51573,4257,8914,-0.59,0.04,0.03
51628,4107,8023,0.63,0.0,0.0
51639,4115,8246,-0.32,0.15,0.63
51656,4144,8549,-0.21,0.12,0.16
51704,3944,7613,-0.2,0.13,0.25
51705,3943,7515,0.53,0.17,0.35
51709,3929,7545,-0.08,0.05,0.06
51720,4030,7903,0.38,0.03,0.02
51730,4033,8116,0.16,0.02,0.0
51747,3900,8340,-0.22,0.0,0.0
51765,4038,8742,0.0,0.0,0.0
51810,3855,7738,-0.24,0.09,0.24
51811,3826,7716,-0.11,0.01,0.0
51818,3737,7817,-0.02,0.0,0.0
51828,3708,7956,-0.1,0.0,0.0
51839,3704,8234,-0.05,0.0,0.0
51855,3809,8533,-0.23,0.0,0.0
51931,3651,8139,-0.06,0.0,0.0
52101,4336,9303,-1.06,1.08,9.29
52112,4345,9459,-0.19,0.02,0.01
52118,4316,9442,0.39,0.15,0.25
52203,4249,9331,0.26,0.01,0.0
52313,4132,9440,0.03,0.05,0.04
52323,4148,9702,0.8,0.0,0.0
52533,3946,9829,-0.13,0.23,1.07
52546,3922,9950,-0.87,0.59,7.42
52602,3845,9320,0.01,0.0,0.0
52652,3905,10017,-0.9,0.81,8.4
52674,3813,10156,0.54,0.59,2.69
52679,3753,10252,-0.43,0.87,5.51
52681,3838,10305,2.67,2.6,60.84
52707,3648,9341,-0.58,0.13,0.41
52787,3712,10252,-0.89,2.62,35.46
52797,3711,10403,-0.48,1.86,63.03
52818,3625,9454,0.37,0.03,0.03
52825,3626,9626,-0.28,0.13,0.34
52836,3618,9806,-0.37,0.63,2.01
52856,3616,10037,-0.94,2.21,16.45
52866,3640,10144,0.25,3.9,46.46
52868,3601,10122,0.62,2.84,41.13
52876,3620,10250,-1.1,2.75,31.88
52884,3621,10357,0.44,2.72,65.76
52895,3634,10441,0.86,2.8,59.29
52908,3513,9305,1.6,0.08,0.12
52943,3535,9960,-1.01,2.35,15.68
52955,3535,10044,-0.81,2.99,18.41
52974,3533,10202,2.56,5.58,85.75
52983,3552,10409,-1.24,2.7,35.88
52984,3535,10311,-0.4,2.72,25.78
52986,3522,10352,0.53,5.31,155.05
52996,3523,10500,-0.64,3.59,57.51
53068,4338,11156,-0.21,0.62,1.47
53083,4437,11409,1.29,3.38,71.58
53149,4232,11008,0.32,0.54,2.47
53192,4401,11500,-0.38,1.07,5.89
53231,4124,10624,-0.2,0.0,0.0
53336,4134,10831,0.0,0.95,8.36
53352,4142,11026,-0.49,1.57,7.85
53362,4133,11139,2.6,5.41,88.84
53391,4154,11400,0.57,3.36,44.25
53399,4109,11442,3.09,5.62,112.79
53446,4032,10953,0.09,4.11,142.01
53463,4051,11134,0.45,5.69,140.77
53478,4000,11228,0.56,5.6,104.66
53480,4102,11304,2.14,5.95,133.9
53487,4005,11325,1.11,4.91,95.37
53490,4026,11404,2.34,6.28,147.58
53513,4044,10722,-0.45,1.75,53.31
53519,3912,10646,0.03,2.33,97.04
53529,3905,10758,-0.33,3.53,111.7
53543,3949,11001,2.26,7.75,322.84
53564,3922,11113,0.49,5.62,140.4
53578,3922,11226,0.09,4.86,114.61
53588,3856,11331,2.03,10.68,598.89
53593,3950,11434,2.75,5.61,141.27
53594,3927,11413,2.79,6.97,221.84
53612,3759,10611,2.23,3.5,63.21
53614,3828,10612,0.63,2.57,69.45
53615,3848,10642,3.0,4.0,231.58
53646,3816,10947,-1.17,3.45,61.94
53651,3849,11028,-0.83,3.04,35.71
53663,3856,11149,-0.58,4.34,100.59
53664,3828,11108,-0.15,5.63,113.27
53673,3844,11243,2.16,8.41,444.14
53687,3747,11338,-0.04,5.43,137.1
53704,3732,10511,-0.79,1.87,40.43
53705,3729,10541,-0.95,1.39,8.65
53723,3748,10715,-0.9,1.92,18.52
53725,3735,10735,-0.95,2.95,52.33
53735,3737,10848,-0.92,3.49,40.56
53738,3655,10810,-0.38,4.31,73.46
53740,3756,10914,-0.45,3.77,36.27
53754,3730,11013,0.55,5.38,107.93
53764,3730,11107,2.04,7.85,379.42
53772,3737,11235,-0.94,3.52,51.41
53775,3725,11236,0.16,4.24,79.36
53787,3704,11259,-0.1,5.35,107.52
53798,3711,11422,0.31,0.92,5.12
53806,3634,10539,-1.08,2.7,35.64
53810,3658,10554,-0.8,2.27,23.33
53817,3602,10614,-1.26,3.44,113.45
53821,3634,10718,-1.0,2.73,37.3
53853,3642,11057,-0.64,4.17,166.49
53854,3635,11004,1.31,6.36,180.18
53859,3605,11040,-0.31,4.48,125.33
53863,3704,11157,0.18,4.64,134.27
53868,3604,11130,-0.37,1.82,24.29
53877,3608,11215,0.88,0.85,4.03
53882,3604,11302,0.2,0.85,15.51
53884,3630,11302,0.56,1.21,10.96
53898,3603,11408,0.62,0.75,6.11
53903,3558,10543,-0.88,3.41,84.59
53910,3540,10612,-0.45,4.65,90.84
53915,3532,10640,-0.67,2.82,47.36
