Stanum,Lat,Lon,Rain,Mean,Var
50136,5258,12231,-6.45,3.26,41.68
50246,5221,12443,-100.0,0.0,0.0
50247,5202,12334,-100.0,0.0,0.0
50349,5140,12424,-100.0,0.0,0.0
50353,5144,12638,-39.31,2.37,23.39
50425,5015,12011,-48.91,1.66,21.89
50434,5029,12141,-44.36,2.19,25.89
50442,5024,12407,-100.0,0.0,0.0
50468,5015,12728,-45.57,2.46,69.11
50514,4935,11719,-1.89,2.72,66.09
50527,4915,11942,18.38,3.92,80.51
50548,4912,12343,-78.27,1.06,10.34
50557,4909,12514,-76.92,1.01,6.67
50564,4925,12720,-65.33,1.63,39.97
50603,4841,11649,-14.31,1.96,10.62
50618,4813,11816,24.24,3.3,41.47
50639,4800,12244,-0.47,5.15,195.14
50656,4816,12630,-25.69,3.56,60.39
50658,4805,12547,-23.21,3.86,88.76
50727,4710,11956,16.29,4.57,48.9
50739,4718,12315,15.57,5.78,135.81
50742,4748,12429,-0.07,4.4,55.61
50745,4723,12355,28.22,5.82,93.28
50756,4727,12652,-19.61,3.78,61.87
50758,4709,12554,-6.95,4.79,114.96
50774,4742,12850,-37.32,3.34,26.36
50788,4714,13160,28.27,4.47,73.51
50834,4636,12113,-18.96,4.09,66.53
50844,4624,12327,21.3,4.99,45.75
50853,4637,12658,31.15,6.83,201.1
50854,4623,12519,-10.07,4.05,41.91
50862,4659,12759,-15.16,4.58,84.35
50873,4647,13018,38.22,5.12,67.95
50877,4618,12935,-21.55,3.4,21.03
50888,4623,13210,32.28,4.77,86.26
50915,4531,11658,-29.74,1.65,12.74
50936,4538,12250,17.95,4.76,71.93
50945,4530,12414,-2.14,4.28,51.62
50948,4500,12401,41.38,6.06,157.63
50949,4505,12452,48.91,6.18,97.06
50950,4542,12515,11.44,5.04,65.43
50953,4556,12634,-4.22,4.45,67.41
50963,4558,12844,-1.61,4.83,54.08
50968,4513,12758,16.22,6.29,83.02
50973,4545,13036,94.67,7.76,295.67
50978,4518,13055,20.14,4.67,113.08
50983,4546,13253,12.59,3.98,67.44
51053,4803,8624,-49.63,0.38,0.85
51060,4742,8652,53.49,1.02,14.63
51068,4707,8729,-35.67,0.42,1.21
51076,4744,8805,-32.37,0.54,2.9
51087,4701,8930,20.86,1.03,7.66
51133,4644,8300,-18.32,0.75,1.16
51156,4649,8545,47.83,1.85,18.48
51232,4511,8233,7.32,0.58,2.0
51238,4454,8204,48.53,1.29,8.02
51241,4556,8336,73.1,2.37,15.89
51243,4537,8451,18.01,0.9,5.27
51334,4434,8249,70.12,0.75,3.83
51367,4410,8651,-41.83,0.36,1.52
51469,4327,8711,-100.0,0.0,0.0
51470,4353,8807,-15.68,2.67,27.54
51477,4321,8819,-39.95,0.41,1.84
51526,4214,8813,193.93,1.42,24.0
51542,4302,8409,-41.66,1.28,16.8
51567,4203,8636,-68.78,0.16,0.19
51573,4257,8914,71.66,0.11,0.09
51628,4107,8023,20.68,0.6,4.78
51639,4115,8246,-23.45,0.26,0.88
51656,4144,8549,127.72,0.97,22.99
51704,3944,7613,-34.2,0.25,0.53
51705,3943,7515,-6.53,0.86,6.48
51709,3929,7545,-33.44,0.2,0.63
51720,4030,7903,-54.15,0.34,1.57
51730,4033,8116,-61.76,0.14,0.18
51747,3900,8340,-100.0,0.0,0.0
51765,4038,8742,-42.14,0.17,0.67
51810,3855,7738,-95.54,0.02,0.01
51811,3826,7716,-98.98,0.0,0.0
51818,3737,7817,-39.7,0.19,0.61
51828,3708,7956,-50.32,0.09,0.12
51839,3704,8234,-8.42,0.26,0.95
51855,3809,8533,72.22,0.41,3.85
51931,3651,8139,-6.69,0.31,1.02
52101,4336,9303,-13.16,1.31,9.17
52112,4345,9459,2.8,0.14,0.26
52118,4316,9442,7.61,0.95,5.82
52203,4249,9331,-56.85,0.1,0.09
52313,4132,9440,-48.94,0.21,0.34
52323,4148,9702,55.84,1.0,7.42
52533,3946,9829,-16.22,0.55,2.14
52546,3922,9950,-65.2,0.27,0.42
52602,3845,9320,-66.03,0.05,0.08
52652,3905,10017,-7.54,0.84,5.35
52674,3813,10156,-2.47,1.37,12.16
52679,3753,10252,-9.46,0.91,3.31
52681,3838,10305,-49.99,0.37,1.33
52707,3648,9341,-59.74,0.09,0.1
52787,3712,10252,-2.47,2.78,19.98
52797,3711,10403,29.79,1.62,12.83
52818,3625,9454,-90.53,0.04,0.01
