Stanum,Lat,Lon,Rain,Mean,Var
53663,3856,11149,-22.29,2.76,110.07
53664,3828,11108,-49.12,1.91,24.92
53673,3844,11243,-17.57,2.85,58.1
53687,3747,11338,-49.18,1.95,47.74
53704,3732,10511,-75.05,0.28,1.1
53705,3729,10541,-76.7,0.3,0.81
53723,3748,10715,-54.63,0.87,12.68
53725,3735,10735,-38.64,1.3,31.77
53735,3737,10848,19.05,2.72,53.15
53738,3655,10810,-88.62,0.37,0.81
53740,3756,10914,-47.12,1.43,11.52
53754,3730,11013,-86.04,0.48,1.82
53764,3730,11107,-56.2,1.61,33.61
53772,3737,11235,-47.73,1.9,28.1
53775,3725,11236,-75.81,0.79,6.15
53787,3704,11259,-31.14,3.22,30.58
53798,3711,11422,-30.83,3.48,92.71
53806,3634,10539,-64.07,0.88,5.13
53810,3658,10554,8.77,1.87,40.83
53817,3602,10614,-23.99,2.24,28.12
53821,3634,10718,-83.62,0.49,1.7
53853,3642,11057,-53.1,1.82,42.6
53854,3635,11004,-37.53,2.27,39.51
53859,3605,11040,-25.87,2.9,68.28
53863,3704,11157,-27.58,2.68,54.4
53868,3604,11130,-39.52,2.32,40.75
53877,3608,11215,-47.05,2.41,20.31
53882,3604,11302,-0.85,3.68,61.9
53884,3630,11302,-52.29,2.1,14.35
53898,3603,11408,-5.9,5.54,297.95
53903,3558,10543,-48.83,1.37,11.33
53910,3540,10612,4.3,3.8,58.94
53915,3532,10640,-68.14,1.1,9.91
53923,3544,10738,-23.96,2.78,130.79
53929,3512,10748,-83.28,0.59,3.61
53942,3547,10922,-47.49,2.22,27.91
53948,3453,10938,30.87,4.38,236.38
53959,3507,11104,-75.42,0.81,7.16
53963,3539,11122,-75.52,0.87,4.45
53968,3517,11140,-21.64,3.6,85.43
53975,3529,11225,-47.81,2.54,40.18
53986,3519,11355,-16.83,4.44,118.27
54012,4434,11738,43.08,4.42,57.14
54026,4434,12054,84.74,7.73,409.54
54027,4357,11919,8.16,4.31,74.36
54041,4448,12304,46.46,5.82,210.29
54049,4415,12358,53.71,6.44,211.52
54063,4458,12600,39.48,6.35,101.27
54064,4423,12509,22.43,5.79,204.22
54094,4430,12940,120.81,8.87,193.5
54096,4424,13111,51.7,5.92,68.51
54102,4357,11607,59.18,4.08,82.17
54115,4338,11802,58.59,5.83,122.62
54134,4336,12117,55.21,4.77,115.16
54135,4336,12216,76.05,6.11,125.37
54142,4331,12327,66.7,7.2,213.63
54157,4307,12423,25.67,6.61,169.4
54161,4354,12513,87.88,10.1,413.14
54165,4333,12538,173.77,15.66,984.64
54171,4342,12631,100.05,8.96,219.36
54181,4342,12720,86.36,10.49,286.17
54186,4322,12812,105.44,9.87,225.54
54195,4318,12947,88.1,6.8,188.07
54208,4212,11628,69.02,5.6,61.77
54213,4256,11901,86.48,6.22,111.4
54218,4218,11850,24.78,4.25,47.53
54226,4220,12042,34.41,5.15,88.72
54236,4223,12233,93.7,9.08,426.93
54243,4247,12406,94.69,10.15,462.95
54254,4232,12403,136.79,13.43,567.15
54259,4204,12452,71.84,10.53,375.2
54260,4255,12505,38.69,7.22,134.46
54263,4258,12605,133.48,13.75,453.41
54266,4232,12538,89.07,10.32,304.15
54273,4259,12645,160.62,15.96,572.81
54276,4224,12648,100.22,12.11,397.05
54284,4209,12730,54.69,9.47,205.31
54285,4224,12807,56.45,7.89,179.54
54286,4232,12900,89.16,7.39,123.72
54292,4252,12930,4.79,3.78,23.41
54308,4112,11638,2.81,4.32,61.62
54311,4158,11746,42.9,5.86,103.72
54324,4133,12026,74.15,8.1,221.23
