Stanum,Lat,Lon,Rain,Mean,Var
50136,5258,12231,11.49,3.51,64.09
50246,5221,12443,15.34,3.02,33.11
50247,5202,12334,9.95,4.23,70.9
50349,5140,12424,15.34,3.01,42.25
50353,5144,12638,18.16,1.37,8.31
50425,5015,12011,19.82,1.65,22.41
50434,5029,12141,15.03,2.74,29.11
50442,5024,12407,17.41,1.3,6.88
50468,5015,12728,13.36,2.98,38.11
50514,4935,11719,22.64,0.83,4.42
50527,4915,11942,19.33,0.88,6.52
50548,4912,12343,14.59,0.52,0.73
50557,4909,12514,14.53,2.64,78.31
50564,4925,12720,15.59,1.98,23.98
50603,4841,11649,23.6,0.95,9.31
50618,4813,11816,24.52,0.8,9.85
50639,4800,12244,15.94,1.57,11.35
50656,4816,12630,15.55,1.13,19.62
50658,4805,12547,16.41,1.03,18.16
50727,4710,11956,21.8,0.88,4.23
50739,4718,12315,18.23,1.07,4.68
50742,4748,12429,17.11,2.05,51.13
50745,4723,12355,19.21,0.85,7.93
50756,4727,12652,14.52,1.93,18.15
50758,4709,12554,9.5,0.21,0.23
50774,4742,12850,11.17,3.26,64.18
50788,4714,13160,16.83,1.39,6.91
50834,4636,12113,17.92,1.78,17.39
50844,4624,12327,20.88,1.33,9.12
50853,4637,12658,15.32,1.29,9.9
50854,4623,12519,17.78,1.13,12.14
50862,4659,12759,11.91,3.14,74.95
50873,4647,13018,14.4,2.15,28.47
50877,4618,12935,9.69,4.45,115.92
50888,4623,13210,14.05,2.75,36.12
50915,4531,11658,27.59,1.31,6.9
50936,4538,12250,18.84,0.52,3.4
50945,4530,12414,16.93,2.13,70.29
50948,4500,12401,17.54,1.83,34.97
50949,4505,12452,18.22,1.85,28.14
50950,4542,12515,16.83,1.26,19.97
50953,4556,12634,15.9,0.91,5.33
50963,4558,12844,14.22,2.1,21.26
50968,4513,12758,7.77,5.7,221.42
50973,4545,13036,13.75,2.92,52.56
50978,4518,13055,11.9,3.59,54.45
50983,4546,13253,14.84,2.41,27.54
51053,4803,8624,52.42,0.61,2.11
51060,4742,8652,39.46,1.57,10.19
51068,4707,8729,73.5,0.89,4.16
51076,4744,8805,57.45,0.59,1.71
51087,4701,8930,64.69,0.7,3.97
51133,4644,8300,64.23,0.94,9.0
51156,4649,8545,54.37,1.1,3.36
51232,4511,8233,59.47,0.5,1.28
51238,4454,8204,28.23,0.35,0.68
51241,4556,8336,40.37,0.78,4.18
51243,4537,8451,67.58,1.05,6.85
51334,4434,8249,30.78,0.22,0.55
51367,4410,8651,63.62,0.69,3.03
51469,4327,8711,29.02,1.88,14.21
51470,4353,8807,20.42,2.08,23.83
51477,4321,8819,18.6,0.37,2.03
51526,4214,8813,7.58,0.2,0.33
51542,4302,8409,27.39,1.65,11.74
51567,4203,8636,11.28,0.17,0.33
51573,4257,8914,0.0,0.02,0.01
51628,4107,8023,13.05,0.17,0.34
51639,4115,8246,81.05,0.48,2.79
51656,4144,8549,0.39,0.05,0.02
51704,3944,7613,0.05,0.04,0.02
51705,3943,7515,27.37,0.34,2.02
51709,3929,7545,0.01,0.03,0.01
51720,4030,7903,1.0,0.04,0.02
51730,4033,8116,0.04,0.02,0.01
51747,3900,8340,0.0,0.0,0.0
51765,4038,8742,0.01,0.08,0.1
51810,3855,7738,2.65,0.13,0.47
51811,3826,7716,2.69,0.08,0.2
51818,3737,7817,0.0,0.01,0.0
51828,3708,7956,0.0,0.0,0.0
51839,3704,8234,0.0,0.0,0.0
51855,3809,8533,0.0,0.0,0.0
51931,3651,8139,0.0,0.02,0.01
52101,4336,9303,35.02,1.16,14.67
52112,4345,9459,167.26,0.79,16.18
52118,4316,9442,41.2,1.66,43.86
52203,4249,9331,37.74,0.22,0.81
52313,4132,9440,3.52,0.15,0.23
52323,4148,9702,26.55,1.83,28.89
52533,3946,9829,65.79,0.95,5.83
52546,3922,9950,52.72,0.93,3.34
52602,3845,9320,0.0,0.04,0.02
52652,3905,10017,44.88,0.88,5.04
52674,3813,10156,32.2,1.47,11.02
52679,3753,10252,36.59,1.26,8.49
52681,3838,10305,36.7,0.74,7.97
52707,3648,9341,1.98,0.15,0.33
52787,3712,10252,17.75,2.27,29.35
52797,3711,10403,28.99,1.75,17.44
52818,3625,9454,1.55,0.22,0.72
52825,3626,9626,0.15,0.08,0.06
52836,3618,9806,27.42,0.55,1.43
52856,3616,10037,25.19,1.06,5.19
52866,3640,10144,17.86,2.32,30.73
52868,3601,10122,26.17,1.78,14.91
52876,3620,10250,14.47,3.27,65.76
52884,3621,10357,19.58,2.67,21.9
52895,3634,10441,17.16,3.02,44.1
52908,3513,9305,24.87,1.8,12.05
52943,3535,9960,16.01,3.05,21.63
52955,3535,10044,18.07,2.36,15.89
52974,3533,10202,10.92,4.3,37.01
