Stanum,Lat,Lon,Rain
50136,5258,12231,1.8263876656928035
50246,5221,12443,6.117509451635973
50247,5202,12334,2.31946907847992
50349,5140,12424,3.623487590048741
50353,5144,12638,3.095551254721874
50425,5015,12011,3.3316030836833908
50434,5029,12141,2.970279690645775
50442,5024,12407,7.477262034563745
50468,5015,12728,5.9448322208986175
50514,4935,11719,2.2194088118958684
50527,4915,11942,3.1619615872095506
50548,4912,12343,3.9314142032147914
50557,4909,12514,6.924271707622088
50564,4925,12720,4.477270840145369
50603,4841,11649,1.9047712310344136
50618,4813,11816,3.3734562949518794
50639,4800,12244,3.8274551118847415
50656,4816,12630,2.2650829559883765
50658,4805,12547,2.7465269576323554
50727,4710,11956,4.476341237618804
50739,4718,12315,4.000003136668678
50742,4748,12429,4.897238854608365
50745,4723,12355,3.67177105222004
50756,4727,12652,6.143217806094597
50758,4709,12554,4.563506557352525
50774,4742,12850,6.536003186842866
50788,4714,13160,5.467144004779329
50834,4636,12113,7.519487820578478
50844,4624,12327,2.337097523584403
50853,4637,12658,4.977256042741988
50854,4623,12519,5.149795936533335
50862,4659,12759,5.7109555282273
50873,4647,13018,3.3059213974539587
50877,4618,12935,7.3707025529434915
50888,4623,13210,2.265765262184922
50915,4531,11658,1.3463007763142114
50936,4538,12250,6.064771501283139
50945,4530,12414,2.8116034600532087
50948,4500,12401,3.174861303830288
50949,4505,12452,2.6294653309386677
50950,4542,12515,3.1379688854263983
50953,4556,12634,6.7423692608343275
50963,4558,12844,5.262718896799594
50968,4513,12758,5.103105731702854
50973,4545,13036,3.687752402897101
50978,4518,13055,2.4547605574175204
50983,4546,13253,5.996363556222018
51053,4803,8624,1.320790727545427
51060,4742,8652,0.7101028962660968
51068,4707,8729,0.2482613207268921
51076,4744,8805,0.47622254817056553
51087,4701,8930,6.831140617054474
51133,4644,8300,1.6862206967745081
51156,4649,8545,0.20166436319369732
51232,4511,8233,0.35603189333326385
51238,4454,8204,0.701890027713134
51241,4556,8336,1.3501678141940614
51243,4537,8451,0.5935968395548017
51334,4434,8249,1.4749086613398432
51367,4410,8651,0.8411217360845032
51469,4327,8711,1.8895834564859444
51470,4353,8807,1.9019585762820068
51477,4321,8819,0.6982009353878704
51526,4214,8813,1.4565385296514186
51542,4302,8409,2.4248594075133276
51567,4203,8636,0.39224013149337383
51573,4257,8914,0.20021874150967683
51628,4107,8023,0.8676790760991775
51639,4115,8246,1.1630378989185022
51656,4144,8549,0.280959600768796
51704,3944,7613,0.5862735515746637
51705,3943,7515,0.7561906988554269
51709,3929,7545,0.3970753324549392
51720,4030,7903,1.0102628424620201
51730,4033,8116,0.9260257030523574
51747,3900,8340,1.402751977101031
51765,4038,8742,0.4918999163082473
51810,3855,7738,0.5714505236291751
51811,3826,7716,2.9199747663739726
51818,3737,7817,0.17409738739760788
51828,3708,7956,0.27963395027159615
51839,3704,8234,0.5178857788643036
51855,3809,8533,0.5956095015945121
51931,3651,8139,0.18879604151888774
52101,4336,9303,1.1611864817570623
52112,4345,9459,0.2092948490977357
52118,4316,9442,1.6511217068684279
52203,4249,9331,0.7175714219980621
52313,4132,9440,1.7493787797922484
52323,4148,9702,0.6706648500682605
52533,3946,9829,0.7295656710218131
52546,3922,9950,0.7691716654641242
52602,3845,9320,0.3212859053080376
52652,3905,10017,0.8497377393141755
52674,3813,10156,2.5417301450815413
52679,3753,10252,1.6409866838964118
52681,3838,10305,2.0582531717968657
52707,3648,9341,1.2457479841464176
52787,3712,10252,3.933332723187434
52797,3711,10403,5.356843019169211
52818,3625,9454,1.162702835909552
52825,3626,9626,1.5903218529012997
52836,3618,9806,3.3571855461399633
52856,3616,10037,3.9328998037786
52866,3640,10144,3.445170307380322
52868,3601,10122,3.324483755964698
52876,3620,10250,3.007850275838288
52884,3621,10357,5.031751501817231
52895,3634,10441,3.4095751061771113
52908,3513,9305,3.066765659920306
52943,3535,9960,4.60030381181742
52955,3535,10044,3.175610290701149
52974,3533,10202,2.5573132983192775
52983,3552,10409,3.0000959920623744
52984,3535,10311,5.043939154287084
52986,3522,10352,3.104215088681542
52996,3523,10500,5.349371699591791
53068,4338,11156,2.106666891615227
53083,4437,11409,2.1100752311636324
53149,4232,11008,2.14897178624568
53192,4401,11500,2.2478985086372645
53231,4124,10624,1.4258552822656064e-33
53336,4134,10831,1.3357070833933522
53352,4142,11026,2.727988976524231
53362,4133,11139,2.8101408731617004
53391,4154,11400,4.879656557019012
53399,4109,11442,3.3919020012932375
53446,4032,10953,5.255951637275212
53463,4051,11134,6.039140183382139
53478,4000,11228,4.489757636522695
53480,4102,11304,4.713361464351704
53487,4005,11325,7.082711701991384
53490,4026,11404,6.253896549477981
53513,4044,10722,3.1610820509019106
53519,3912,10646,3.7487683594934333
53529,3905,10758,3.1756549451884095
53543,3949,11001,3.186685914994947
53564,3922,11113,5.734865735204989
53578,3922,11226,6.8122764169147105
