Stanum,Lat,Lon,Rain
54363,4141,12554,0.24
54374,4148,12653,-0.13
54377,4109,12613,0.51
54386,4125,12811,-0.5
54401,4046,11455,0.6
54405,4025,11530,-0.45
54406,4027,11558,-0.62
54416,4023,11652,-0.27
54423,4058,11755,-0.28
54429,4012,11757,-0.23
54436,4025,11857,0.72
54449,3951,11931,0.89
54452,4048,11948,-0.18
54454,4020,12018,0.86
54455,4037,12039,0.93
54470,4101,12203,0.62
54471,4040,12210,0.82
54476,4011,12209,0.9
54486,4020,12317,-0.05
54493,4043,12447,-0.16
54497,4002,12420,-0.35
54511,3948,11628,-0.4
54518,3910,11624,0.19
54525,3944,11717,0.3
54527,3905,11703,-0.16
54534,3939,11806,0.53
54539,3926,11853,0.38
54563,3938,12201,0.83
54579,3916,12235,0.11
54584,3943,12257,0.65
54602,3844,11529,0.51
54606,3813,11545,-1.37
54618,3805,11633,0.88
54623,3903,11743,-0.15
54624,3824,11719,0.34
54662,3854,12138,0.44
54705,3722,11523,0.68
54715,3719,11631,0.27
54725,3730,11732,-0.86
54727,3639,11731,0.5
54744,3735,11833,0.47
54751,3756,12044,0.42
54753,3738,12020,-0.36
54764,3729,12114,1.19
54776,3724,12242,0.35
54808,3613,11538,0.73
54823,3636,11700,0.04
54826,3615,11706,-0.1
54836,3611,11810,0.06
54842,3647,12000,0.49
54843,3645,11912,0.15
54857,3604,12020,-0.16
54863,3647,12111,-0.24
54909,3505,11531,-0.48
54916,3534,11651,0.69
54929,3516,11758,0.34
54936,3534,11850,0.12
54945,3528,11933,-0.29
55228,3230,8005,-0.44
55248,3209,8425,-0.9
55299,3129,9204,1.08
55437,3017,8115,-0.51
55493,3029,9106,1.0
55569,2905,8736,0.1
55598,2916,9146,0.97
55655,2811,8558,0.51
55664,2838,8705,-0.16
55680,2855,8936,0.89
56004,3413,9226,-0.49
56018,3253,9517,0.43
56021,3408,9549,-1.49
56029,3300,9658,0.54
56033,3455,9813,-0.1
56034,3348,9708,-0.35
56038,3259,9806,-0.9
56043,3429,10014,-1.81
56046,3345,9939,-1.11
56065,3444,10136,-2.2
56067,3326,10129,-2.09
56074,3400,10205,-0.62
56079,3335,10258,-0.8
56080,3459,10254,-1.41
56093,3426,10401,-0.73
56096,3324,10455,-1.35
56116,3125,9536,1.77
56125,3212,9628,1.52
56137,3109,9710,0.9
56144,3148,9835,0.92
56146,3137,10000,0.11
56151,3256,10045,-0.77
56152,3217,10020,-0.26
56167,3058,10107,0.75
56172,3154,10214,-1.17
56173,3248,10233,-1.53
56178,3060,10221,-0.89
56182,3240,10336,-0.89
56187,3045,10352,-0.54
56188,3060,10340,-1.98
56223,3046,9548,0.78
56227,2952,9546,0.72
56247,3000,9906,0.49
56251,3056,10019,0.5
56257,3000,10016,0.71
56312,2940,9420,1.17
56331,2940,9750,0.88
56357,2903,10018,0.74
56374,3003,10158,0.29
56385,2931,10320,-0.13
56386,2934,10345,-1.42
56434,2840,9728,1.06
56444,2829,9854,0.93
56459,2756,10117,0.77
56462,2900,10130,1.69
56475,2839,10231,0.09
56479,2800,10251,-0.64
56485,2816,10335,-0.27
56492,2846,10436,0.34
56533,2745,9840,1.55
56543,2751,9945,0.41
56548,2711,9917,1.19
56565,2726,10129,-0.84
56571,2754,10216,0.46
56586,2721,10343,0.31
56643,2552,9851,-0.99
56651,2651,10013,-1.31
56664,2638,10116,-1.3
56666,2635,10143,-1.02
56671,2639,10215,-0.8
56684,2624,10315,0.51
56691,2652,10417,-0.49
56739,2459,9830,-1.36
56748,2507,9911,-0.43
56751,2542,10011,0.58
56778,2500,10239,1.45
56792,2547,10458,-0.81
56793,2545,10432,-0.61
56856,2426,10052,-0.22
56875,2420,10233,1.4
56886,2432,10346,0.27
56946,2332,9923,0.13
56951,2353,10007,-0.62
56954,2234,9956,-0.18
56964,2247,10058,0.33
56966,2338,10158,0.63
56969,2128,10135,0.27
56977,2236,10151,-1.72
56991,2336,10420,0.72
57003,3454,10650,-0.7
57014,3434,10552,-0.53
57025,3431,10723,-0.7
57028,3404,10719,-0.59
57030,3442,10809,-2.22
57034,3419,10814,-1.32
57037,3456,10858,-0.75
57046,3429,11005,-2.13
57048,3424,10843,-0.31
57051,3443,11115,-1.51
57052,3453,11027,-0.26
57071,3448,11228,0.72
57083,3442,11340,-0.84
57089,3404,11356,-1.74
57091,3448,11418,-0.55
57106,3319,10609,-0.26
57124,3337,10655,-0.29
57127,3304,10702,-0.08
57131,3426,10858,-0.52
57134,3331,10759,-1.08
57143,3351,10958,-1.77
57144,3326,10909,-0.5
57154,3332,11054,-1.93
57156,3319,11129,-0.26
57178,3306,11229,-0.9
57181,3352,11302,-1.95
57193,3347,11431,-1.41
57206,3225,10554,-0.52
57211,3250,10615,-0.74
57232,3303,10816,-0.38
57237,3204,10802,-0.23
57238,3231,10754,-0.44
57245,3242,10903,-0.37
57251,3300,11024,-0.55
57256,3239,11047,0.73
57259,3202,11046,-1.26
57265,3226,11144,-1.23
57278,3200,11205,-0.54
57279,3208,11245,-0.03
57285,3221,11324,-1.72
57290,3256,11355,-0.22
57297,3208,11403,-0.22
57306,3135,10559,-0.52
57313,3153,10647,-0.39
57328,3112,10730,-1.04
57343,3154,10932,0.42
57348,3102,10929,-0.52
57355,3103,11021,0.34
57359,3121,11044,-0.04
57378,3112,11238,0.33
57381,3137,11320,0.21
57395,3135,11410,-1.22
57399,3108,11457,0.57
57405,3030,10533,-0.53
57411,3045,10608,-0.86
57432,3046,10824,-0.45
57439,3017,10856,0.19
57445,3036,10943,0.78
57447,3017,10928,-0.47
57458,3009,11104,1.28
57461,3044,11122,0.33
57476,3021,11209,1.19
57482,3054,11357,0.44
57483,3040,11308,0.84
57494,3036,11403,0.25
57502,2943,10542,-0.05
57503,2937,10507,-0.68
57512,2958,10616,0.16
57516,2935,10628,0.05
57517,2917,10615,-0.48
57520,2950,10704,0.58
57523,2954,10746,-0.03
57536,2931,10846,0.58
57545,2932,10925,0.25
57554,2924,11010,0.69
57562,2935,11122,-0.01
57573,2953,11254,0.03
57574,2921,11226,-0.5
57581,2949,11327,0.39
57583,2955,11358,0.18
57584,2923,11305,-0.54
57598,2902,11435,-0.03
57606,2808,10650,0.97
57608,2810,10526,0.39
57612,2900,10639,0.98
57625,2832,10727,-0.63
57633,2849,10846,-0.03
57642,2841,10939,-0.02
57647,2810,10912,0.47
57649,2814,10941,0.53
57655,2828,11024,0.32
57662,2907,11141,-0.92
57669,2823,11113,0.39
57671,2851,11222,-0.33
57673,2844,11256,0.45
57679,2813,11312,0.74
57682,2843,11334,0.56
57687,2807,11247,1.09
57696,2823,11446,0.74
57707,2718,10517,0.48
57710,2748,10624,1.01
57718,2706,10643,0.84
57722,2747,10730,-0.69
57729,2714,10753,-0.03
57731,2756,10815,1.07
57741,2744,10911,-0.66
57745,2727,10941,-0.12
57752,2755,11036,-0.35
57761,2745,11118,1.17
57774,2727,11210,0.38
57776,2718,11242,0.26
57779,2703,11321,0.87
57780,2752,11310,1.32
57789,2708,11357,0.67
57793,2747,11422,1.8
57799,2703,11455,-0.01
57803,2701,10601,0.81
57805,2641,10546,-0.64
57806,2615,10554,-0.63
57816,2635,10644,1.34
57825,2636,10759,-0.65
57827,2619,10731,-0.3
57832,2658,10840,-0.76
57839,2614,10908,0.19
57840,2654,10912,-1.13
57845,2610,10947,0.43
57866,2614,11137,1.55
57872,2653,11236,0.92
57874,2625,11224,1.29
57889,2605,11357,-0.3
57894,2635,11410,1.82
57896,2620,11431,0.74
57902,2526,10511,-0.13
57906,2511,10605,-1.22
57907,2505,10454,0.49
57910,2546,10605,0.31
57912,2609,10639,0.44
57916,2526,10646,-1.1
57922,2550,10733,-0.42
57926,2525,10753,-0.82
57932,2556,10831,0.11
57947,2514,10924,0.49
57957,2519,11018,0.35
57965,2532,11136,0.43
57972,2544,11258,0.45
57974,2535,11222,0.49
57993,2552,11501,1.12
57996,2505,11415,0.8
58005,3426,11532,0.08
58015,3427,11620,0.59
58026,3424,11801,0.66
58027,3417,11710,0.38
58038,3405,11847,0.77
58040,3451,11908,0.75
58047,3415,11914,0.08
58102,3347,11544,0.51
58111,3351,11625,0.24
58118,3316,11631,0.41
58122,3338,11705,0.3
58130,3356,11757,0.34
58135,3329,11813,0.66
58138,3257,11830,0.73
58141,3338,11856,-0.63
58143,3348,11951,0.06
58150,3345,12018,0.6
58158,3310,12027,0.88
58203,3252,11544,0.65
58208,3210,11537,0.14
58215,3226,11647,0.37
58221,3251,11718,0.92
58225,3232,11740,0.91
58236,3221,11815,0.58
58238,3156,11854,0.97
58241,3245,11929,1.02
58251,3251,12017,1.0
58255,3223,12037,1.12
58259,3205,12059,0.59
58265,3206,12133,0.86
58311,3144,11630,0.41
58314,3124,11619,0.2
58319,3104,11657,0.83
58321,3157,11703,0.72
58326,3135,11750,0.92
58336,3142,11834,0.94
58338,3107,11836,0.97
58345,3126,11930,0.86
58354,3137,12021,0.31
58356,3124,12100,-0.15
58358,3105,12026,0.74
58362,3123,12127,0.62
58402,3044,11540,0.63
58429,3059,11751,0.21
58436,3037,11859,-0.07
58437,3008,11809,1.42
58448,3013,11942,0.82
58450,3052,12003,0.83
58457,3014,12010,0.48
58464,3039,12107,0.65
58467,3012,12118,-0.18
58472,3044,12227,0.87
58477,3002,12206,0.56
58500,2954,11513,0.43
58506,2934,11559,0.3
58507,2915,11507,0.24
58519,2900,11640,-0.24
58520,2952,11742,0.69
58527,2918,11712,0.48
58531,2943,11817,0.62
58543,2937,11901,0.09
58549,2907,11939,-0.54
58553,3003,12049,1.09
58556,2936,12049,0.64
58557,2920,12005,-0.18
58562,2948,12130,0.2
58569,2912,12157,-0.81
58600,2851,11522,0.78
58606,2835,11554,1.71
58608,2759,11533,0.24
58622,2857,11735,0.25
58626,2819,11714,1.06
58634,2841,11815,0.04
58637,2827,11759,0.91
58646,2828,11956,0.66
58652,2852,12043,-0.92
58665,2837,12125,-0.5
58666,2827,12154,0.77
58667,2805,12116,0.56
58705,2720,11525,0.71
58715,2735,11639,1.21
58718,2713,11632,2.1
58725,2720,11728,1.13
58730,2746,11802,1.19
58731,2755,11832,0.51
58734,2720,11807,1.0
58737,2703,11819,0.58
58742,2806,11934,0.59
58744,2727,11930,1.02
58752,2747,12039,0.57
58754,2720,12012,0.14
58806,2629,11601,1.32
58813,2650,11618,0.64
58818,2614,11638,1.03
58820,2654,11710,0.84
58837,2609,11809,1.52
58843,2653,12001,0.05
58846,2640,11931,0.14
58847,2605,11917,0.66
58911,2551,11622,1.38
58918,2503,11625,0.97
58926,2518,11725,0.78
58927,2503,11701,0.84
58931,2543,11806,0.95
58944,2531,11947,1.56
59007,2403,10503,1.57
59021,2433,10702,-1.37
59023,2442,10802,-1.17
59037,2356,10806,-0.55
59046,2422,10928,0.31
59058,2412,11031,-0.08
59065,2425,11130,-0.55
59072,2449,11222,-0.13
59082,2440,11336,1.51
59087,2353,11331,0.35
59088,2411,11325,0.67
59092,2452,11448,-0.37
59096,2423,11430,0.47
59097,2402,11413,0.85
59102,2457,11539,0.46
59107,2407,11517,1.82
59113,2444,11643,0.67
59116,2421,11642,2.14
59117,2417,11604,1.77
59133,2454,11855,1.13
59134,2429,11804,0.88
59209,2325,10549,2.64
59211,2354,10636,1.45
59218,2306,10627,0.98
59228,2317,10734,1.65
59242,2346,10909,0.66
59265,2329,11118,0.27
59271,2338,11225,0.33
59278,2259,11229,0.24
59280,2343,11305,0.36
59287,2313,11329,1.37
59289,2258,11344,1.74
59293,2348,11444,2.02
59294,2320,11350,1.34
59298,2304,11422,2.4
59303,2355,11545,1.94
