Stanum,Lat,Lon,Rain,Mean,Var
50136,5258,12231,0.92,2.24,22.29
50246,5221,12443,1.03,2.49,40.94
50247,5202,12334,0.74,3.32,66.94
50349,5140,12424,1.67,1.79,14.63
50353,5144,12638,-2.1,7.29,408.62
50425,5015,12011,1.5,1.12,6.86
50434,5029,12141,1.34,2.04,23.79
50442,5024,12407,1.54,1.95,23.83
50468,5015,12728,1.35,1.82,12.05
50514,4935,11719,0.16,2.45,25.42
50527,4915,11942,0.28,2.91,59.77
50548,4912,12343,0.81,3.17,76.02
50557,4909,12514,1.36,1.93,31.72
50564,4925,12720,1.7,0.91,5.72
50603,4841,11649,-0.0,2.38,20.58
50618,4813,11816,0.06,2.58,108.86
50639,4800,12244,-0.54,6.05,247.63
50656,4816,12630,1.26,2.26,43.7
50658,4805,12547,1.33,0.9,6.93
50727,4710,11956,0.12,3.54,124.9
50739,4718,12315,1.58,1.51,17.62
50742,4748,12429,1.5,1.36,40.28
50745,4723,12355,1.34,1.51,25.66
50756,4727,12652,0.99,2.69,42.29
50758,4709,12554,1.25,1.95,22.62
50774,4742,12850,1.74,2.08,35.51
50788,4714,13160,-0.59,4.3,85.84
50834,4636,12113,1.15,2.5,32.56
50844,4624,12327,0.44,0.97,11.0
50853,4637,12658,0.72,3.96,66.14
50854,4623,12519,0.45,3.65,47.59
50862,4659,12759,1.09,3.31,53.33
50873,4647,13018,1.22,1.61,38.32
50877,4618,12935,1.58,1.09,8.49
50888,4623,13210,0.77,2.58,39.82
50915,4531,11658,0.9,1.26,8.12
50936,4538,12250,1.08,0.87,7.45
50945,4530,12414,0.44,3.63,109.54
50948,4500,12401,1.13,2.36,50.05
50949,4505,12452,1.47,1.18,8.35
50950,4542,12515,0.9,2.93,57.12
50953,4556,12634,0.35,4.08,63.68
50963,4558,12844,1.33,2.13,24.41
50968,4513,12758,1.62,1.79,23.16
50973,4545,13036,0.58,2.95,58.08
50978,4518,13055,1.14,2.02,33.01
50983,4546,13253,0.79,2.46,41.5
51053,4803,8624,-1.72,2.76,50.48
51060,4742,8652,-0.22,0.39,0.82
51068,4707,8729,0.88,0.98,5.18
51076,4744,8805,0.36,0.51,2.17
51087,4701,8930,-1.1,0.25,0.6
51133,4644,8300,1.04,1.22,4.83
51156,4649,8545,-0.91,1.96,17.84
51232,4511,8233,1.15,0.78,2.23
51238,4454,8204,-0.17,1.61,12.1
51241,4556,8336,-0.85,2.22,23.2
51243,4537,8451,0.64,0.9,3.59
51334,4434,8249,0.56,0.84,4.41
51367,4410,8651,-0.8,0.27,1.16
51469,4327,8711,0.16,3.89,67.07
51470,4353,8807,-0.11,3.55,66.83
51477,4321,8819,1.12,0.79,8.27
51526,4214,8813,0.33,0.47,1.85
