Stanum,Lat,Lon,Rain,Mean,Var
53664,3828,11108,0.06,3.77,60.53
53673,3844,11243,-0.24,3.7,82.36
53687,3747,11338,1.06,2.84,49.54
53704,3732,10511,-0.72,2.83,37.05
53705,3729,10541,-0.82,2.62,29.46
53723,3748,10715,-2.14,4.56,226.72
53725,3735,10735,-1.04,3.88,69.22
53735,3737,10848,-1.92,6.55,345.97
53738,3655,10810,0.27,2.73,32.28
53740,3756,10914,-0.99,4.15,111.82
53754,3730,11013,-0.41,4.07,67.33
53764,3730,11107,0.75,2.46,33.29
53772,3737,11235,-0.12,3.7,140.14
53775,3725,11236,1.05,1.69,44.5
53787,3704,11259,1.64,1.08,7.69
53798,3711,11422,-0.17,4.84,257.64
53806,3634,10539,-0.86,3.67,48.31
53810,3658,10554,0.21,2.32,34.17
53817,3602,10614,-0.33,3.39,38.06
53821,3634,10718,0.28,2.58,18.87
53853,3642,11057,0.06,3.71,142.14
53854,3635,11004,0.33,3.07,77.46
53859,3605,11040,0.7,2.75,55.61
53863,3704,11157,0.81,2.27,68.88
53868,3604,11130,0.5,3.1,181.47
53877,3608,11215,1.28,1.94,51.38
53882,3604,11302,0.51,0.39,2.73
53884,3630,11302,1.44,1.5,27.17
53898,3603,11408,0.99,2.73,82.75
53903,3558,10543,0.33,2.36,17.57
53910,3540,10612,0.53,3.78,47.43
53915,3532,10640,0.41,2.71,24.74
53923,3544,10738,0.99,2.17,17.02
53929,3512,10748,0.46,2.85,76.6
53942,3547,10922,0.44,3.21,47.84
53948,3453,10938,0.68,1.35,11.02
53959,3507,11104,0.77,1.64,30.2
53963,3539,11122,0.93,1.35,21.73
53968,3517,11140,1.04,1.39,47.3
53975,3529,11225,0.85,2.68,49.6
53986,3519,11355,1.24,2.03,28.07
54012,4434,11738,0.9,1.79,20.3
54026,4434,12054,1.18,1.63,45.36
54027,4357,11919,0.23,3.47,92.75
54041,4448,12304,0.65,3.03,112.65
54049,4415,12358,0.78,2.74,36.41
54063,4458,12600,1.1,2.54,39.01
54064,4423,12509,1.36,1.26,11.6
54094,4430,12940,1.14,2.29,13.46
54096,4424,13111,1.67,1.58,15.94
54102,4357,11607,1.05,1.05,8.54
54115,4338,11802,-0.79,4.8,225.33
54134,4336,12117,0.45,2.58,39.34
54135,4336,12216,-0.12,3.61,130.64
54142,4331,12327,1.45,1.28,13.87
54157,4307,12423,1.41,2.31,33.76
54161,4354,12513,1.25,2.64,21.95
54165,4333,12538,0.71,3.98,87.9
54171,4342,12631,1.19,2.3,24.0
54181,4342,12720,1.37,2.77,31.75
54186,4322,12812,1.61,1.9,21.82
54195,4318,12947,1.21,0.94,4.32
54208,4212,11628,-0.52,3.92,72.94
54213,4256,11901,-0.51,3.88,73.73
54218,4218,11850,0.24,2.98,91.19
54226,4220,12042,0.76,2.54,79.24
54236,4223,12233,1.5,0.57,3.47
54243,4247,12406,1.55,1.56,14.38
54254,4232,12403,1.44,1.93,38.69
54259,4204,12452,1.26,3.22,66.85
54260,4255,12505,1.64,0.99,5.16
54263,4258,12605,1.98,1.26,8.57
54266,4232,12538,1.78,1.44,15.19
54273,4259,12645,2.1,1.6,14.65
54276,4224,12648,1.56,2.57,30.27
54284,4209,12730,1.32,3.69,61.38
54285,4224,12807,1.38,2.69,57.38
54286,4232,12900,0.58,2.86,111.52
54292,4252,12930,1.21,1.89,30.49
54308,4112,11638,-0.05,4.2,85.23
54311,4158,11746,0.84,2.61,18.41
54324,4133,12026,0.81,2.9,157.99
54326,4125,11937,1.37,1.48,15.76
54333,4158,12251,0.53,3.69,236.13
54339,4105,12260,1.3,1.88,28.57
54342,4144,12331,1.11,2.5,85.59
54346,4118,12347,0.36,5.26,237.22
54351,4155,12404,1.39,2.79,75.75
54353,4143,12502,0.62,4.25,201.48
54363,4141,12554,-0.24,7.05,250.73
54374,4148,12653,0.62,4.68,141.9
54377,4109,12613,0.59,5.44,392.52
54386,4125,12811,1.24,2.88,64.15
54401,4046,11455,1.06,1.74,14.55
54405,4025,11530,0.92,2.01,21.96
54406,4027,11558,1.67,1.36,13.06
54416,4023,11652,0.08,6.03,457.98
54423,4058,11755,0.21,4.21,121.09
54429,4012,11757,1.69,2.92,42.41
54436,4025,11857,0.29,5.96,125.27
54449,3951,11931,1.35,2.77,113.88
54452,4048,11948,0.79,3.3,78.39
54454,4020,12018,0.41,4.13,151.71
54455,4037,12039,1.07,2.57,78.45
54470,4101,12203,1.23,1.62,28.53
54471,4040,12210,0.26,4.44,305.71
54476,4011,12209,0.11,4.44,197.24
54486,4020,12317,0.34,5.28,260.78
54493,4043,12447,0.35,6.97,404.39
54497,4002,12420,1.08,4.41,305.4
54511,3948,11628,0.33,4.51,188.77
54518,3910,11624,1.19,1.68,26.93
54525,3944,11717,0.79,4.18,138.21
54527,3905,11703,1.43,2.25,28.27
54534,3939,11806,1.75,1.71,35.4
54539,3926,11853,0.43,4.55,173.43
54563,3938,12201,0.66,3.58,73.62
54579,3916,12235,1.47,1.55,34.38
54584,3943,12257,1.01,3.43,104.6
54602,3844,11529,1.42,1.75,21.22
54606,3813,11545,1.4,0.35,0.85
54618,3805,11633,1.58,1.31,12.44
54623,3903,11743,0.76,0.44,1.91
54624,3824,11719,1.36,2.46,46.09
54662,3854,12138,1.22,1.98,62.56
54705,3722,11523,1.19,1.31,25.12
54715,3719,11631,1.16,2.43,32.48
54725,3730,11732,1.44,1.12,10.67
54727,3639,11731,1.34,2.39,55.12
